SOURCE_POLICY,MPOLICY,CROSSWALK_STATUS,LOAN_BALANCE,MLOANPRIN_SOURCE,MLOANINT_SCALE_NOTE,MLOANIDT_SOURCE,INTEREST_TYPE,INT_METHOD,BALANCE_CLASS,MLOANPRIN,MLOANBAL,MLOANINT,MLOANINTX,MLOANIDT,MLOANDATE,MLOANACCR,MLOANBILL
9010382931,010382931C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20220210,20220210,0.00,0.00
9010385636,010385636C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20180507,20180507,0.00,0.00
9010391004,010391004C,CROSSWALK_APPLIED,4608.84,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,4608.84,4608.84,0.05,,20250528,20250528,0.00,0.00
9010391228,010391228C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20240319,20240319,0.00,0.00
9010391359,010391359C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20211119,20211119,0.00,0.00
9010391422,010391422C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20191120,20191120,0.00,0.00
9010391876,010391876C,CROSSWALK_APPLIED,1544.26,LOAN_BALANCE,UNRESOLVED_REVIEW,missing,F,D,ACTIVE_CANDIDATE,1544.26,1544.26,0.05,,,20090901,0.00,0.00
9010391878,010391878C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100701,20100701,0.00,0.00
9010391895,010391895C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20150615,20150615,0.00,0.00
9010392138,010392138C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20231206,20231206,0.00,0.00
9010392763,010392763C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20150625,20150625,0.00,0.00
9010393181,010393181C,CROSSWALK_APPLIED,1805.04,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1805.04,1805.04,0.05,,20150708,20190701,0.00,0.00
9010395098,010395098C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20080801,20080801,0.00,0.00
9010395382,010395382C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20240528,20240528,0.00,0.00
9010395761,010395761C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20190729,20190729,0.00,0.00
9010395879,010395879C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20150828,20150828,0.00,0.00
9010396186,010396186C,CROSSWALK_APPLIED,8353.63,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,8353.63,8353.63,0.05,,20111014,20250901,0.00,0.00
9010396425,010396425C,CROSSWALK_APPLIED,1815.05,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1815.05,1815.05,0.05,,20240923,20250917,0.00,0.00
9010397118,010397118C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20211108,20211108,0.00,0.00
9010397318,010397318C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20070301,20070301,0.00,0.00
9010397583,010397583C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20220831,20220831,0.00,0.00
9010397945,010397945C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20091012,20091012,0.00,0.00
9010400462,010400462C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20220428,20220428,0.00,0.00
9010401565,010401565C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20111101,20111101,0.00,0.00
9010402014,010402014C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20200401,20200401,0.00,0.00
9010402105,010402105C,CROSSWALK_APPLIED,13981.71,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,13981.71,13981.71,0.05,,20251201,20251201,0.00,0.00
9010403109,010403109C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20260109,20260109,0.00,0.00
9010403789,010403789C,CROSSWALK_APPLIED,1265.58,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1265.58,1265.58,0.05,,20251226,20251226,0.00,0.00
9010404600,010404600C,CROSSWALK_APPLIED,17946.48,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,17946.48,17946.48,0.05,,20061222,20251201,0.00,0.00
9010404602,010404602C,CROSSWALK_APPLIED,1088.59,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1088.59,1088.59,0.05,,20140304,20140901,0.00,0.00
9010404857,010404857C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20180118,20180118,0.00,0.00
9010405440,010405440C,CROSSWALK_APPLIED,1158.65,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1158.65,1158.65,0.05,,20260128,20260128,0.00,0.00
9010407925,010407925C,CROSSWALK_APPLIED,4582.88,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,4582.88,4582.88,0.05,,20260421,20260421,0.00,0.00
9010410566,010410566C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20130228,20130228,0.00,0.00
9010413628,010413628C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20090413,20090413,0.00,0.00
9010417200,010417200C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20200521,20200521,0.00,0.00
9010420983,010420983C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20190909,20190909,0.00,0.00
9010422033,010422033C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20210601,20210601,0.00,0.00
9010422417,010422417C,CROSSWALK_APPLIED,11.06,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,11.06,11.06,0.05,,20041215,20041215,0.00,0.00
9010422722,010422722C,CROSSWALK_APPLIED,7844.69,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,7844.69,7844.69,0.05,,20250701,20250701,0.00,0.00
9010425720,010425720C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20201105,20201105,0.00,0.00
9010425941,010425941C,CROSSWALK_APPLIED,2039.97,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,2039.97,2039.97,0.05,,20250701,20250701,0.00,0.00
9010425942,010425942C,CROSSWALK_APPLIED,897.80,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,897.80,897.80,0.05,,20150618,20180226,0.00,0.00
9010425944,010425944C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20120114,20120114,0.00,0.00
9010426657,010426657C,CROSSWALK_APPLIED,11428.93,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,11428.93,11428.93,0.05,,20140820,20220923,0.00,0.00
9010426747,010426747C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20200312,20200312,0.00,0.00
9010427456,010427456C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20050815,20050815,0.00,0.00
9010428771,010428771C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20130909,20130909,0.00,0.00
9010429710,010429710C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20230405,20230405,0.00,0.00
9010429711,010429711C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20260413,20260413,0.00,0.00
9010431738,010431738C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20121101,20121101,0.00,0.00
9010434092,010434092C,CROSSWALK_APPLIED,3690.85,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,3690.85,3690.85,0.05,,20131226,20251201,0.00,0.00
9010434421,010434421C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20191108,20191108,0.00,0.00
9010435244,010435244C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100609,20100609,0.00,0.00
9010435671,010435671C,CROSSWALK_APPLIED,13365.78,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,13365.78,13365.78,0.05,,20251207,20251207,0.00,0.00
9010435672,010435672C,CROSSWALK_APPLIED,2029.93,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,2029.93,2029.93,0.05,,20100207,20251207,0.00,0.00
9010435673,010435673C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100218,20100218,0.00,0.00
9010436599,010436599C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20120201,20120201,0.00,0.00
9010436782,010436782C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20130110,20130110,0.00,0.00
9010437232,010437232C,CROSSWALK_APPLIED,15640.18,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,15640.18,15640.18,0.05,,20260215,20260215,0.00,0.00
9010438325,010438325C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100820,20100820,0.00,0.00
9010438556,010438556C,CROSSWALK_APPLIED,1221.92,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1221.92,1221.92,0.05,,20260224,20260309,0.00,0.00
9010438821,010438821C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20190402,20190402,0.00,0.00
9010438938,010438938C,CROSSWALK_APPLIED,989.40,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,989.40,989.40,0.05,,20090417,20100114,0.00,0.00
9010438942,010438942C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100114,20100114,0.00,0.00
9010439128,010439128C,CROSSWALK_APPLIED,226.03,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,226.03,226.03,0.05,,20260401,20260401,0.00,0.00
9010439156,010439156C,CROSSWALK_APPLIED,6245.71,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,6245.71,6245.71,0.05,,20260401,20260401,0.00,0.00
9010439277,010439277C,CROSSWALK_APPLIED,1044.22,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1044.22,1044.22,0.05,,20190514,20260314,0.00,0.00
9010439435,010439435C,CROSSWALK_APPLIED,226.28,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,226.28,226.28,0.05,,20260421,20260421,0.00,0.00
9010439999,010439999C,CROSSWALK_APPLIED,3141.78,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,3141.78,3141.78,0.05,,20260421,20260421,0.00,0.00
9010440000,010440000C,CROSSWALK_APPLIED,1741.81,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,1741.81,1741.81,0.05,,20260324,20260326,0.00,0.00
9010442332,010442332C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20190801,20190801,0.00,0.00
9010442552,010442552C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20240517,20240517,0.00,0.00
9010442906,010442906C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100726,20100726,0.00,0.00
9010443109,010443109C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20210514,20210514,0.00,0.00
9010443287,010443287C,CROSSWALK_APPLIED,6429.82,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,6429.82,6429.82,0.05,,20260323,20260323,0.00,0.00
9010444283,010444283C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20041019,20041019,0.00,0.00
9010445275,010445275C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20161006,20161006,0.00,0.00
9010446852,010446852C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20251222,20251222,0.00,0.00
9010448025,010448025C,CROSSWALK_APPLIED,4082.49,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,4082.49,4082.49,0.05,,20190220,20260201,0.00,0.00
9010448375,010448375C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20050705,20050705,0.00,0.00
9010449155,010449155C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20120315,20120315,0.00,0.00
9010449417,010449417C,CROSSWALK_APPLIED,9421.64,LOAN_BALANCE,UNRESOLVED_REVIEW,CAPITALIZED_DATE,F,D,ACTIVE_CANDIDATE,9421.64,9421.64,0.05,,20260301,20260301,0.00,0.00
9010449498,010449498C,CROSSWALK_APPLIED,90.08,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,90.08,90.08,0.05,,20260211,20260220,0.00,0.00
9010451453,010451453C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20250515,20250515,0.00,0.00
9010452169,010452169C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20200801,20200801,0.00,0.00
9010452304,010452304C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100804,20100804,0.00,0.00
9010452305,010452305C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20100804,20100804,0.00,0.00
9010454002,010454002C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20230424,20230424,0.00,0.00
9010455341,010455341C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20050222,20050222,0.00,0.00
9010456114,010456114C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20230718,20230718,0.00,0.00
9010456751,010456751C,CROSSWALK_APPLIED,534.89,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,534.89,534.89,0.05,,20110817,20130401,0.00,0.00
9010458520,010458520C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20230515,20230515,0.00,0.00
9010458525,010458525C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20191115,20191115,0.00,0.00
9010458526,010458526C,CROSSWALK_APPLIED,555.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,555.00,555.00,0.05,,20251124,20251124,0.00,0.00
9010458663,010458663C,CROSSWALK_APPLIED,5071.98,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,5071.98,5071.98,0.05,,20181106,20191001,0.00,0.00
9010459723,010459723C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20070701,20070701,0.00,0.00
9010460886,010460886C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20120515,20120515,0.00,0.00
9010461210,010461210C,CROSSWALK_APPLIED,613.73,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ACTIVE_CANDIDATE,613.73,613.73,0.05,,20260129,20260207,0.00,0.00
9010462630,010462630C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20230601,20230601,0.00,0.00
9010462631,010462631C,CROSSWALK_APPLIED,0.00,LOAN_BALANCE,UNRESOLVED_REVIEW,LAST_REPAY_DATE,F,D,ZERO_BALANCE_HOLD,0.00,0.00,0.05,,20101029,20101029,0.00,0.00
