source_file,source_row_number,source_coverage_id,resolved_plan,attempted_plan,authoritative_plan,is_authorized,authority_source,authority_column_used,resolution_path,emitted_to_quikplan,governance_status
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,15,0824 P DTH,90PDTH,90PDTH,90PDTH,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,16,10827 CSI3,17CSI3,17CSI3,17CSI3,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,17,10827 CSI5,17CSI5,17CSI5,17CSI5,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,18,10827 CSI7,17CSI7,17CSI7,17CSI7,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,19,10827 MN5K,1CSIMN,1CSIMN,1CSIMN,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,20,1576 658,976658,976658,976658,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,21,1576 659,976659,976659,976659,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,22,1577 ADB,977ADB,977ADB,977ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,23,1578 CTR,578CTR,578CTR,578CTR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,24,1578 FTR,778FTR,778FTR,778FTR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,25,1578 SPSPU,578STR,578STR,578STR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,26,1578CTR WP,9CTRWP,9CTRWP,9CTRWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,27,1578FTR WP,9FTRWP,9FTRWP,9FTRWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,28,1579 GPO,9GPO79,9GPO79,9GPO79,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,29,1580 JPO,980JPO,980JPO,980JPO,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,30,1595,9595WP,9595WP,9595WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,31,1596,996ADB,996ADB,996ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,32,1596 667,967ADB,967ADB,967ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,33,1596 L01,901ADB,901ADB,901ADB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,34,619 CH PU,719CTR,719CTR,719CTR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,35,619 DT,7619DT,7619DT,7619DT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,36,619 DT CH,719CDT,719CDT,719CDT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,37,619 DT SP,719SDT,719SDT,719SDT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,38,619 SPS PU,7619PU,7619PU,7619PU,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,39,621 END85,221END,221END,221END,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,40,621 PUA,121PUA,121PUA,121PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,41,622 END85,222END,222END,222END,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,42,630 JEB,130JEB,130JEB,130JEB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,43,646 ART,5646AT,5646AT,5646AT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,44,647 FLP,7647FP,7647FP,7647FP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,45,647 FLP CH,7647CH,7647CH,7647CH,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,46,647 FLP SP,7647SP,7647SP,7647SP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,47,658 CEN I,1658C1,1658C1,1658C1,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,48,658 CEN SD,1658CS,1658CS,1658CS,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,49,659 CEN II,1659C2,1659C2,1659C2,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,50,659 CEN SD,1659CS,1659CS,1659CS,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,51,659 CEN SR,1659CR,1659CR,1659CR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,52,659 SR GD,1659SR,1659SR,1659SR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,53,665 PUA,265PUA,265PUA,265PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,54,665 STME95,2665ST,2665ST,2665ST,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,55,666 WL,1666WL,1666WL,1666WL,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,56,667 ART,5667AT,5667AT,5667AT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,57,667 ART CR,57ATCR,57ATCR,57ATCR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,58,668 SPWL,1668SP,1668SP,1668SP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,59,669 SR GD,1669SR,1669SR,1669SR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,60,670 GL85-8,170858,170858,170858,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,61,670 GL8588,170588,170588,170588,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,62,670 GL85-M,17085M,17085M,17085M,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,63,670 PUA,170PUA,170PUA,170PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,64,679 CEN SD,1679CS,1679CS,1679CS,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,65,686S 30MRG,7686S3,7686S3,7686S3,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,66,687J 30MRG,7687J3,7687J3,7687J3,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,67,690 DT 65,7690DT,7690DT,7690DT,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,68,8034 30MRG,934SWP,934SWP,934SWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,69,8034 J30MT,934JWP,934JWP,934JWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,70,8042 STR,542STR,542STR,542STR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,71,8042STR WP,9STRWP,9STRWP,9STRWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,72,8043 CTR,543CTR,543CTR,543CTR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,73,8043CTR WP,943CWP,943CWP,943CWP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,74,8046 JPO,9JPO46,9JPO46,9JPO46,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,75,8115,9L05WP,9L05WP,9L05WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,76,8115 L01,9L01WP,9L01WP,9L01WP,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,77,826,560STR,560STR,560STR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,78,828,528CTR,528CTR,528CTR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,79,8286 GI 1,986JPO,986JPO,986JPO,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,80,8286 GI 2+,982JPO,982JPO,982JPO,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,81,863,A60MIR,A60MIR,A60MIR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,82,889 960,960GIO,960GIO,960GIO,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,83,896 DAR,A96DAR,A96DAR,A96DAR,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,84,897 666,1666AI,1666AI,1666AI,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,85,960 65 PUA,165PUA,165PUA,165PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,86,960 LP PUA,185PUA,185PUA,185PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,87,960 LP65,196065,196065,196065,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,88,960 LP85-M,196085,196085,196085,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,89,960 OL,1960OL,1960OL,1960OL,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,90,960 OL PUA,1OLPUA,1OLPUA,1OLPUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,91,960 PO,1960PO,1960PO,1960PO,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,92,960 PO PUA,1POPUA,1POPUA,1POPUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,93,961 ME65,2961ME,2961ME,2961ME,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,94,961 PUA,261PUA,261PUA,261PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,95,970 JEB,1970JB,1970JB,1970JB,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,96,970 PUA,1970PA,1970PA,1970PA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,97,980 END65,280END,280END,280END,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,98,980 PUA,280PUA,280PUA,280PUA,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,99,991 PWL,1991PL,1991PL,1991PL,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
C:\Users\warren\Documents\GitHub\Warrenhughes1974\plan_analysis\quikplan_source.csv,100,DISCHO20 B,9DIS20,9DIS20,9DIS20,Y,POLICY_FORM_CROSSWALK,crosswalk_ql_plan_code,POLICY_FORM_CROSSWALK_OVERLAY,Y,AUTHORIZED
